TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,LogReg_Fraud,DBSCAN_Cluster,DBSCAN_Fraud
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,-44459430.0,False,4,1.5998545136138564,False,False,0.148040315678371,False,False,0,False
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,-53105546.0,False,3,1.3128466140859625,False,False,0.14787681984390544,False,False,0,False
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,-38929002.0,False,0,0.7958084238758938,False,False,0.1850203168626624,False,False,0,False
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,-44629966.0,False,0,0.7243820632991,False,False,0.18828643647736376,False,False,0,False
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,-47655678.0,True,1,2.3619036540111207,False,True,0.04847311557177114,False,True,0,False
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,-52932193.0,False,4,0.549756584670305,False,False,0.20404761294994755,False,False,0,False
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,-32883391.0,False,3,2.4425044871296766,False,False,0.08553062635321285,False,False,0,False
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,-48958477.0,True,1,2.4123291419948414,False,True,-0.026385523675038325,True,True,0,False
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,-50599761.0,False,4,1.0025211125317,False,False,0.18904871115012156,False,False,0,False
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,-56130770.0,False,4,1.5226864020988982,False,False,0.16771612841042716,False,False,0,False
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,-35478768.0,False,4,2.3966289751868044,False,False,0.11346701503077106,False,False,0,False
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,-41091595.0,False,3,1.750360124436352,False,False,0.14750467122195426,False,False,0,False
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,-55006954.0,False,0,2.1474382086951787,False,False,0.10654799044210361,False,False,0,False
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,-35048713.0,True,1,2.1182626958340394,False,True,0.051404704092149145,False,True,0,False
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,-51979466.0,False,2,1.794099624771353,False,False,0.14316055113695225,False,False,0,False
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,-32282882.0,False,0,1.6455476177546446,False,False,0.09025373676640469,False,False,0,False
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,-33233607.0,False,3,1.276340443556999,False,False,0.2035233745480512,False,False,0,False
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,-30122014.0,False,4,0.6601029542750617,False,False,0.1999543164231704,False,False,0,False
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,2024-11-04 08:11:15,-52928263.0,False,3,1.743282304129682,False,False,0.14235079474557827,False,False,0,False
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,2024-11-04 08:11:17,-33577417.0,True,2,2.2410888547184866,False,False,0.07763537188325875,False,True,0,False
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,2024-11-04 08:07:32,-56127012.0,False,3,1.8374804980678974,False,False,0.15366984217638463,False,False,0,False
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,2024-11-04 08:07:31,-39878861.0,False,3,0.45917788475758026,False,False,0.2209123903686892,False,False,0,False
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2024-11-04 08:11:45,-57427104.0,False,0,2.0149842397178,False,False,0.07991922103072513,False,False,0,False
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,-48690680.0,False,0,1.115540492399426,False,False,0.16452241876393275,False,False,0,False
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,-49392266.0,False,4,0.8159704792016359,False,False,0.15917268128322826,False,False,0,False
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,-40317445.0,False,4,1.298016472418818,False,False,0.19455063412469947,False,False,0,False
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,2024-11-04 08:11:12,-34266103.0,False,3,1.1034785915348142,False,False,0.17614050956462912,False,False,0,False
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,2024-11-04 08:10:33,-28224535.0,False,4,0.6964285903784909,False,False,0.22049775112724845,False,False,0,False
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,2024-11-04 08:11:35,-33838915.0,False,4,1.0849140357207356,False,False,0.1770588291099388,False,False,0,False
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,2024-11-04 08:07:24,-29604087.0,False,4,1.4227816424149138,False,False,0.17498117907800625,False,False,0,False
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,2024-11-04 08:06:31,-50772073.0,False,4,1.34855528654309,False,False,0.17318654777086878,False,False,0,False
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,2024-11-04 08:07:07,-54400048.0,False,3,0.8933907238096351,False,False,0.1987126315986359,False,False,0,False
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,2024-11-04 08:09:02,-53706187.0,False,3,2.3821949002044427,False,False,0.11203377003741744,False,False,0,False
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,2024-11-04 08:06:45,-44551271.0,False,0,1.859724279696223,False,False,0.10154147873278585,False,False,0,False
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,2024-11-04 08:08:58,-36602251.0,False,4,0.4304756997282277,False,False,0.2044716238764548,False,False,0,False
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,2024-11-04 08:10:42,-50595806.0,False,3,0.46062593514732975,False,False,0.21797576780294275,False,False,0,False
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,2024-11-04 08:09:15,-39536135.0,False,4,0.6252394887202098,False,False,0.21674586620931702,False,False,0,False
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,2024-11-04 08:09:57,-28131440.0,False,3,1.0623800220214312,False,False,0.19997467199881036,False,False,0,False
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,2024-11-04 08:07:49,-52842608.0,False,3,0.8746637000289396,False,False,0.19380726762661477,False,False,0,False
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,2024-11-04 08:07:09,-44380134.0,False,3,1.6028325842384277,False,False,0.17970350080101777,False,False,0,False
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,2024-11-04 08:11:37,-34443375.0,False,4,1.1107846097993181,False,False,0.1946222785663011,False,False,0,False
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,2024-11-04 08:06:25,-34089708.0,False,2,1.3284036169636548,False,False,0.18584264465308703,False,False,0,False
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,-46454613.0,False,3,2.518464801915826,False,False,0.02826427787885033,False,False,0,False
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,2024-11-04 08:08:09,-31331986.0,False,0,1.735488465540406,False,False,0.1582820065392352,False,False,0,False
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,2024-11-04 08:08:01,-45239076.0,False,0,1.5278165076364196,False,False,0.19342331758190923,False,False,0,False
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,2024-11-04 08:11:32,-31766992.0,False,0,1.3013428409253534,False,False,0.11693698546718712,False,False,0,False
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,2024-11-04 08:11:41,-50598670.0,False,4,1.3134473714387083,False,False,0.1843090279553659,False,False,0,False
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,2024-11-04 08:10:12,-48268728.0,False,3,1.720639501266179,False,False,0.15551439057129224,False,False,0,False
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,2024-11-04 08:12:10,-48864683.0,False,4,1.0013487494327524,False,False,0.19612781903176252,False,False,0,False
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,2024-11-04 08:07:11,-54747138.0,False,3,1.4345791072654532,False,False,0.15401967155063806,False,False,0,False
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,2024-11-04 08:08:42,-30813974.0,False,4,0.47588910984598354,False,False,0.2009030875692563,False,False,0,False
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,2024-11-04 08:10:18,-41011098.0,False,4,1.853936545040648,False,False,0.15823451037246583,False,False,0,False
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,2024-11-04 08:09:26,-57078550.0,False,0,1.1203929895523954,False,False,0.21175878937116588,False,False,0,False
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,2024-11-04 08:12:15,-42213102.0,False,3,1.073000089691356,False,False,0.18848305213181604,False,False,0,False
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,2024-11-04 08:08:45,-32886857.0,False,4,2.5942517453682274,False,False,0.11055686302411316,False,False,0,False
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,2024-11-04 08:06:51,-34270222.0,True,2,2.4383853080117706,False,True,0.033095347556668875,False,False,0,False
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,2024-11-04 08:09:17,-26923094.0,False,0,1.4329333891968836,False,False,0.1916539898575041,False,False,0,False
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,-44115270.0,False,4,0.4415762552230328,False,False,0.20325307977949042,False,False,0,False
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,2024-11-04 08:11:36,-51982764.0,False,0,1.517016070926359,False,False,0.11163029455397078,False,False,0,False
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,2024-11-04 08:06:50,-27782423.0,False,4,0.841268279818731,False,False,0.1981491451657122,False,False,0,False
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,-41087758.0,False,0,0.91958561697345,False,False,0.18067029580792682,False,False,0,False
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,2024-11-04 08:09:51,-43508861.0,False,4,0.790991665759497,False,False,0.1876261589010435,False,False,0,False
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,2024-11-04 08:08:16,-32626459.0,False,3,0.8676383777259407,False,False,0.21690975766035442,False,False,0,False
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,2024-11-04 08:11:07,-56216299.0,False,2,1.0802967956886738,False,False,0.14776534526655805,False,False,0,False
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,2024-11-04 08:09:38,-31419328.0,False,0,1.0004179602640604,False,False,0.20063410550761202,False,False,0,False
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,2024-11-04 08:09:42,-42305358.0,False,4,0.7296029156539495,False,False,0.20652943565958526,False,False,0,False
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,2024-11-04 08:06:53,-34699483.0,True,2,2.1998572951501734,False,True,0.020843523970978772,False,True,0,False
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,2024-11-04 08:12:05,-32885070.0,False,0,1.5210587822222745,False,False,0.16206033193091324,False,False,0,False
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,2024-11-04 08:07:32,-37465419.0,False,0,1.2119022988985906,False,False,0.1626688629644209,False,False,0,False
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,2024-11-04 08:09:10,-43248701.0,False,0,1.4921584387239832,False,False,0.11415290974345149,False,False,0,False
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,2024-11-04 08:08:38,-30210029.0,False,4,0.6786802325209091,False,False,0.20000435193317379,False,False,0,False
TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,2024-11-04 08:08:12,-35997519.0,False,2,1.624373405837704,False,False,0.15250939866708518,False,False,0,False
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,2024-11-04 08:08:01,-34443111.0,True,1,1.3742066855079393,False,True,0.03659035445772729,False,True,0,False
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,2024-11-04 08:10:44,-50766880.0,False,4,0.4460296781247576,False,False,0.19383792470482614,False,False,0,False
TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,2024-11-04 08:08:21,-27531078.0,False,4,2.155152015854715,False,False,0.10782554570143488,False,False,0,False
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,2024-11-04 08:08:04,-52934575.0,False,4,1.5903170862947864,False,False,0.18990057621242573,False,False,0,False
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,-42911562.0,False,0,1.1943329448111157,False,False,0.2044519606999885,False,False,0,False
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,2024-11-04 08:10:47,-48869004.0,False,2,1.6105845522567117,False,False,0.1562829208541205,False,False,0,False
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,-41094161.0,False,3,1.3903099881207497,False,False,0.1660795319080028,False,False,0,False
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,2024-11-04 08:07:22,-37118480.0,False,3,0.8767018241364297,False,False,0.16908129475712763,False,False,0,False
TX000100,AC00178,115.02,2023-09-11 16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,2024-11-04 08:08:38,-36258574.0,False,0,1.0889394338530536,False,False,0.1857027575421371,False,False,0,False
TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,2024-11-04 08:11:07,-56126831.0,False,0,1.781827368008637,False,False,0.14683746113718377,False,False,0,False
TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2024-11-04 08:10:02,-38937076.0,False,0,1.5735313484565323,False,False,0.1349865430060529,False,False,0,False
TX000103,AC00075,83.24,2023-10-16 18:35:11,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,2024-11-04 08:10:52,-33226541.0,False,3,1.265559532925699,False,False,0.18564386142327938,False,False,0,False
TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,2024-11-04 08:08:32,-53451549.0,False,0,1.0482236691991922,False,False,0.17527619369354513,False,False,0,False
TX000105,AC00170,129.94,2023-01-02 16:36:02,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,2024-11-04 08:06:35,-58030233.0,False,0,1.8226171533141906,False,False,0.14000738261301143,False,False,0,False
TX000106,AC00235,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,2024-11-04 08:10:48,-29345985.0,False,0,1.1197959553309003,False,False,0.17773016574873057,False,False,0,False
TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:24,-31850243.0,False,3,0.7034649406245439,False,False,0.21516098819342566,False,False,0,False
TX000108,AC00397,756.59,2023-03-06 16:47:02,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,2024-11-04 08:11:40,-52586678.0,False,2,2.170609220842824,False,False,0.12882798197138934,False,False,0,False
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,2024-11-04 08:09:22,-29597793.0,False,4,1.590470558727598,False,False,0.16230062442359544,False,False,0,False
